ID;Fabrica;Activo;Tecnología;Pais;lat;lon
587;Argentina;1;Residuos productos quimicos;Argentina;-38.416.097;-63.616.672
588;Paraná;1;Residuos productos quimicos;Argentina;-38.416.097;-63.616.672
589;Campinas;1;Residuos productos quimicos;Brasil;-14.23;-51.92
590;Dongguan;1;Residuos productos quimicos;China;35.86;104.19
591;Bridge Street;1;Residuos productos quimicos;UK;55.37;-3.43
592;Newton Aycliffe;1;Residuos productos quimicos;UK;55.37;-3.43
593;Popes Lane;1;Residuos productos quimicos;UK;55.37;-3.43
594;Darlaston;1;Residuos productos quimicos;UK;55.37;-3.43
595;Cannock;1;Residuos productos quimicos;Holanda;52.13;5.29
596;Barcelona;1;Carretilla;España;40.46;-3.74
597;Burgos;1;Carretilla;España;40.46;-3.74
598;Tarragona;1;Carretilla;España;40.46;-3.74
599;Valencia;1;Carretilla;España;40.46;-3.74
600;Portugal;1;Carretilla;Portugal;39.39;-8.22
601;Union Street;1;Carretilla;UK;55.37;-3.43
185;Laser Valencia;1;Almacén producto semielaborado o en producción;España;40.46;-3.74
224;Laser Valencia;1;Área de embalado;España;40.46;-3.74
263;Laser Valencia;1;Instalaciones exteriores y auxiliares;España;40.46;-3.74
605;Navarra;1;Carretilla;España;40.46;-3.74
606;Galicia;1;Carretilla;España;40.46;-3.74
302;Laser Valencia;1;Mantenimiento;España;40.46;-3.74
341;Laser Valencia;1;Maquinaria Auxiliar;España;40.46;-3.74
609;Baja California;1;Carretilla;EEUU;37.09;-95.71
610;Çepas;1;Carretilla;Turquía;38.96;35.24
611;Colombia;1;Carretilla;Colombia;4.57;-74.29
612;Thüringen;1;Carretilla;Alemania;511.656;104.515
613;Polska;1;Carretilla;Polonia;51.91;19.14
614;Senica;1;Carretilla;Eslovaquia;48.66;19.69
615;Kaluga;1;Carretilla;Russia;61.52;105.31
616;Czech;1;Carretilla;Rep.Checa;49.81;15.47
380;Laser Valencia;1;Oficinas administrativas;España;40.46;-3.74
618;Puebla;1;Carretilla;México;23.63;-102.55
619;South Carolina;1;Carretilla;EEUU;37.09;-95.71
620;Argentina;1;Carretilla;Argentina;-38.416.097;-63.616.672
621;Paraná;1;Carretilla;Argentina;-38.416.097;-63.616.672
622;Campinas;1;Carretilla;Brasil;-14.23;-51.92
623;Dongguan;1;Carretilla;China;35.86;104.19
624;Bridge Street;1;Carretilla;UK;55.37;-3.43
625;Newton Aycliffe;1;Carretilla;UK;55.37;-3.43
626;Popes Lane;1;Carretilla;UK;55.37;-3.43
627;Darlaston;1;Carretilla;UK;55.37;-3.43
628;Cannock;1;Carretilla;Holanda;52.13;5.29
629;Barcelona;1;Coil to Coil;España;40.46;-3.74
630;Burgos;1;Coil to Coil;España;40.46;-3.74
631;Tarragona;1;Coil to Coil;España;40.46;-3.74
632;Valencia;1;Coil to Coil;España;40.46;-3.74
633;Portugal;1;Coil to Coil;Portugal;39.39;-8.22
634;Union Street;1;Coil to Coil;UK;55.37;-3.43
419;Laser Valencia;1;Puente Grúa;España;40.46;-3.74
638;Navarra;1;Coil to Coil;España;40.46;-3.74
639;Galicia;1;Coil to Coil;España;40.46;-3.74
459;Laser Valencia;1;Carpinteria;España;40.46;-3.74
498;Laser Valencia;1;Almacen de recambios;España;40.46;-3.74
642;Baja California;1;Coil to Coil;EEUU;37.09;-95.71
643;Çepas;1;Coil to Coil;Turquía;38.96;35.24
